Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
29.0,female,2,own,little,little,3499.0,12,car,bad
24.0,female,2,own,unknown,moderate,7882.375,42,car,good
29.0,male,2,own,little,little,6887.0,36,education,bad
27.0,male,1,own,little,unknown,2708.0,15,furniture/equipment,good
47.0,male,2,free,little,unknown,1984.0,18,furniture/equipment,good
21.0,female,2,own,moderate,unknown,7882.375,42,radio/TV,good
38.0,female,2,own,unknown,unknown,1240.0,12,radio/TV,good
27.0,male,2,own,rich,unknown,7882.375,27,car,good
64.5,male,1,own,quite rich,moderate,766.0,12,radio/TV,bad
35.0,male,2,own,unknown,moderate,2728.0,15,radio/TV,good
44.0,female,1,rent,little,rich,1881.0,12,radio/TV,good
27.0,male,0,own,rich,rich,709.0,6,car,good
30.0,female,3,own,little,moderate,4795.0,36,radio/TV,good
27.0,male,3,own,little,little,3416.0,27,radio/TV,good
22.0,male,2,own,little,little,2462.0,18,furniture/equipment,bad
23.0,female,2,own,little,unknown,2288.0,21,furniture/equipment,good
30.0,male,2,own,moderate,moderate,3566.0,42,business,good
39.0,female,2,own,little,little,860.0,6,car,good
51.0,female,2,own,moderate,unknown,682.0,12,car,good
28.0,male,2,own,little,little,5371.0,36,furniture/equipment,good
46.0,male,2,own,rich,unknown,1582.0,18,radio/TV,good
42.0,male,2,free,moderate,unknown,1346.0,6,radio/TV,good
38.0,male,2,own,little,unknown,1924.0,10,radio/TV,good
24.0,male,2,own,little,rich,5848.0,36,radio/TV,good
29.0,female,2,rent,rich,moderate,7758.0,24,car,good
36.0,male,3,rent,moderate,moderate,6967.0,24,business,good
20.0,female,2,rent,little,little,1282.0,12,furniture/equipment,bad
48.0,male,2,own,moderate,little,1288.0,9,repairs,good
45.0,male,1,own,little,little,339.0,12,education,good
38.0,male,2,own,moderate,moderate,3512.0,24,car,good
34.0,male,1,own,unknown,unknown,1898.0,6,radio/TV,good
36.0,male,2,own,moderate,unknown,2872.0,24,radio/TV,good
30.0,female,2,own,little,unknown,1055.0,18,car,good
36.0,male,2,own,quite rich,unknown,1262.0,15,domestic appliances,good
64.5,male,3,free,little,moderate,7308.0,10,car,good
36.0,male,2,own,quite rich,unknown,909.0,36,car,good
32.0,male,2,own,quite rich,unknown,2978.0,6,furniture/equipment,good
33.0,female,2,own,little,little,1131.0,18,furniture/equipment,bad
20.0,female,2,own,rich,moderate,1577.0,11,furniture/equipment,good
25.0,female,2,rent,little,unknown,3972.0,24,furniture/equipment,good
31.0,male,2,own,little,moderate,1935.0,24,business,bad
33.0,male,2,rent,little,little,950.0,15,car,bad
26.0,female,2,own,little,unknown,763.0,12,furniture/equipment,good
34.0,female,3,own,little,moderate,2064.0,24,furniture/equipment,bad
33.0,male,2,own,little,moderate,1414.0,8,radio/TV,good
26.0,male,2,own,little,little,3414.0,21,education,bad
53.0,female,3,own,unknown,unknown,7485.0,30,car,bad
42.0,male,2,own,little,little,2577.0,12,furniture/equipment,good
52.0,male,2,own,quite rich,little,338.0,6,radio/TV,good
31.0,male,3,rent,little,unknown,1963.0,12,radio/TV,good
64.5,male,2,own,little,little,571.0,21,car,good
28.0,male,2,own,little,unknown,7882.375,36,business,bad
30.0,male,3,own,little,moderate,4455.0,36,business,bad
40.0,male,1,own,unknown,little,1647.0,21,car,bad
50.0,male,2,own,rich,unknown,3777.0,24,furniture/equipment,good
36.0,male,2,own,little,moderate,884.0,18,car,bad
31.0,male,2,own,little,unknown,1360.0,15,radio/TV,good
64.5,female,3,free,little,moderate,5129.0,9,car,bad
64.5,male,0,free,little,moderate,1175.0,16,car,good
20.0,male,2,own,moderate,little,674.0,12,radio/TV,bad
33.0,female,2,own,little,moderate,3244.0,18,furniture/equipment,good
54.0,male,3,own,rich,unknown,4591.0,24,business,bad
34.0,male,1,free,moderate,moderate,3844.0,42,business,bad
36.0,male,2,own,little,moderate,3915.0,27,business,bad
29.0,male,2,rent,little,unknown,2108.0,6,radio/TV,good
21.0,male,2,rent,moderate,moderate,3031.0,42,radio/TV,bad
34.0,female,3,own,little,moderate,1501.0,9,education,bad
28.0,female,2,own,little,unknown,1382.0,6,radio/TV,good
27.0,female,2,rent,moderate,moderate,951.0,12,furniture/equipment,bad
36.0,male,2,free,unknown,moderate,2760.0,24,car,good
40.0,male,3,own,little,moderate,4297.0,18,furniture/equipment,bad
52.0,male,2,own,quite rich,unknown,936.0,9,education,good
27.0,male,1,own,little,little,1168.0,12,car,good
26.0,male,2,own,little,unknown,5117.0,27,business,good
21.0,male,2,rent,little,little,902.0,12,education,bad
38.0,male,1,own,little,unknown,1495.0,12,car,good
38.0,male,3,free,little,little,7882.375,30,car,good
43.0,male,2,own,little,unknown,1935.0,12,furniture/equipment,good
26.0,male,2,own,little,moderate,1424.0,12,domestic appliances,good
21.0,male,1,own,little,little,6568.0,24,business,good
55.0,male,2,own,rich,unknown,1413.0,12,car,good
33.0,male,2,own,unknown,unknown,3074.0,9,radio/TV,good
45.0,female,1,own,unknown,unknown,3835.0,36,radio/TV,good
50.0,male,2,own,little,little,5293.0,27,business,bad
64.5,male,3,own,little,rich,1908.0,30,business,bad
51.0,male,2,own,unknown,unknown,3342.0,36,radio/TV,good
39.0,female,1,own,unknown,moderate,932.0,6,education,good
31.0,male,2,own,little,little,3104.0,18,business,good
23.0,male,2,own,little,rich,3913.0,36,radio/TV,good
24.0,male,1,rent,little,little,3021.0,24,furniture/equipment,good
64.0,female,2,own,little,unknown,1364.0,10,car,good
26.0,male,1,own,little,moderate,625.0,12,radio/TV,good
23.0,female,2,rent,unknown,little,1200.0,12,education,good
30.0,male,2,own,little,unknown,707.0,12,radio/TV,good
32.0,male,2,own,unknown,unknown,2978.0,24,business,good
30.0,male,2,own,little,unknown,4657.0,15,car,good
27.0,male,2,own,little,unknown,2613.0,36,repairs,good
27.0,male,2,own,rich,moderate,7882.375,42,radio/TV,bad
53.0,male,3,free,little,little,7865.0,12,furniture/equipment,bad
22.0,male,2,own,little,unknown,1478.0,9,radio/TV,bad
22.0,male,2,free,little,little,3149.0,24,furniture/equipment,good
26.0,male,2,own,little,rich,4210.0,36,radio/TV,bad
51.0,male,1,free,quite rich,unknown,2507.0,9,car,good
35.0,male,2,own,moderate,unknown,2141.0,12,radio/TV,good
25.0,male,1,own,little,moderate,866.0,18,radio/TV,good
42.0,male,1,own,little,unknown,1544.0,4,radio/TV,good
30.0,male,3,own,little,little,1823.0,24,radio/TV,bad
23.0,male,0,own,unknown,moderate,7882.375,6,car,bad
61.0,male,1,rent,moderate,moderate,2767.0,21,business,bad
35.0,female,2,own,little,unknown,1291.0,12,radio/TV,good
39.0,male,2,own,little,little,2522.0,30,radio/TV,good
29.0,female,2,own,unknown,little,915.0,24,car,bad
51.0,male,2,own,little,unknown,1595.0,6,radio/TV,good
24.0,male,2,free,little,little,4605.0,42,car,bad
27.0,female,2,own,little,unknown,1185.0,12,business,good
35.0,female,1,own,quite rich,unknown,3447.0,12,education,good
25.0,male,2,own,little,unknown,1258.0,24,business,good
52.0,male,2,own,little,unknown,717.0,12,radio/TV,good
35.0,male,2,rent,moderate,unknown,1204.0,6,car,good
26.0,male,2,own,little,rich,1925.0,24,furniture/equipment,good
22.0,female,2,rent,little,unknown,433.0,18,radio/TV,bad
39.0,female,1,own,rich,little,666.0,6,car,good
46.0,female,1,own,little,rich,2251.0,12,furniture/equipment,good
24.0,female,2,own,little,moderate,2150.0,30,car,bad
35.0,male,2,own,moderate,unknown,4151.0,24,furniture/equipment,good
24.0,male,2,own,unknown,moderate,2030.0,9,furniture/equipment,good
27.0,male,1,own,unknown,moderate,7418.0,42,radio/TV,good
35.0,male,1,own,little,unknown,2684.0,24,radio/TV,good
29.0,male,2,free,little,little,2149.0,12,radio/TV,bad
23.0,female,2,own,moderate,unknown,3812.0,15,car,good
57.0,female,1,own,moderate,unknown,1154.0,11,radio/TV,good
27.0,male,2,own,little,little,1657.0,12,furniture/equipment,good
55.0,female,2,own,little,little,1603.0,24,radio/TV,good
36.0,male,3,free,little,little,5302.0,18,car,good
57.0,female,1,free,little,unknown,2748.0,12,education,good
32.0,male,1,own,little,unknown,1231.0,10,car,good
37.0,male,2,own,little,moderate,802.0,15,radio/TV,bad
36.0,male,2,own,unknown,unknown,6304.0,36,business,good
38.0,female,2,own,little,unknown,1533.0,24,radio/TV,good
45.0,male,3,own,little,little,7882.375,14,car,bad
25.0,male,2,own,unknown,unknown,999.0,24,radio/TV,good
32.0,male,2,own,unknown,unknown,2662.0,18,car,good
37.0,female,2,rent,quite rich,unknown,1402.0,12,furniture/equipment,good
36.0,male,3,free,unknown,moderate,7882.375,42,car,good
28.0,male,2,own,little,moderate,3060.0,42,radio/TV,bad
34.0,male,1,own,little,little,7882.375,30,repairs,bad
32.0,male,2,own,little,unknown,2697.0,9,radio/TV,good
26.0,female,2,own,little,unknown,2404.0,18,radio/TV,good
49.0,male,1,own,unknown,little,1262.0,12,furniture/equipment,good
32.0,female,2,own,little,unknown,4611.0,6,furniture/equipment,bad
29.0,male,3,rent,moderate,unknown,1901.0,24,radio/TV,good
23.0,male,2,rent,rich,unknown,3368.0,15,car,good
50.0,male,2,own,little,unknown,1574.0,12,furniture/equipment,good
49.0,male,1,own,unknown,rich,1445.0,18,radio/TV,good
63.0,male,2,own,unknown,unknown,1520.0,15,furniture/equipment,good
37.0,male,2,own,moderate,moderate,3878.0,24,car,good
35.0,female,1,own,little,little,7882.375,42,car,good
26.0,male,2,own,little,little,4788.0,42,car,good
31.0,male,3,free,moderate,moderate,7582.0,42,vacation/others,good
49.0,female,2,own,little,moderate,1092.0,12,radio/TV,good
48.0,male,2,own,little,little,1024.0,24,radio/TV,bad
26.0,male,2,own,little,unknown,1076.0,12,business,good
28.0,male,3,rent,little,moderate,7882.375,36,car,bad
44.0,female,3,free,little,little,6419.0,24,car,good
56.0,male,2,free,little,rich,4796.0,42,car,good
46.0,male,3,own,unknown,unknown,7629.0,42,business,good
26.0,female,2,own,little,moderate,7882.375,42,furniture/equipment,bad
20.0,female,2,rent,unknown,unknown,4675.0,12,car,good
45.0,male,1,own,unknown,unknown,1287.0,10,car,good
43.0,male,2,own,little,unknown,2515.0,18,furniture/equipment,good
32.0,male,2,own,rich,moderate,2745.0,21,furniture/equipment,good
54.0,female,0,own,little,unknown,672.0,6,car,good
42.0,female,2,own,little,moderate,3804.0,36,radio/TV,bad
37.0,male,1,own,unknown,rich,1344.0,24,car,bad
49.0,male,2,own,little,little,1038.0,10,car,good
44.0,male,2,free,quite rich,unknown,7882.375,42,car,bad
33.0,male,2,own,rich,unknown,1543.0,6,furniture/equipment,good
24.0,female,1,rent,unknown,unknown,4811.0,30,car,good
33.0,male,1,own,moderate,little,727.0,12,radio/TV,bad
24.0,female,2,own,little,moderate,1237.0,8,furniture/equipment,bad
22.0,male,1,rent,little,moderate,276.0,9,car,good
40.0,male,0,free,unknown,moderate,5381.0,42,vacation/others,good
25.0,male,2,own,moderate,unknown,5511.0,24,furniture/equipment,good
26.0,female,2,own,little,rich,3749.0,24,furniture/equipment,good
25.0,male,1,own,little,moderate,685.0,12,car,bad
29.0,male,1,own,unknown,rich,1494.0,4,car,good
31.0,male,2,own,little,little,2746.0,36,furniture/equipment,bad
38.0,male,1,own,little,little,708.0,12,furniture/equipment,good
48.0,female,1,own,unknown,moderate,4351.0,24,furniture/equipment,good
32.0,male,2,own,little,unknown,701.0,12,education,good
27.0,female,1,own,little,little,3643.0,15,furniture/equipment,good
28.0,male,3,own,little,moderate,4249.0,30,car,bad
32.0,male,2,own,little,little,1938.0,24,radio/TV,bad
34.0,male,3,free,little,little,2910.0,24,car,good
28.0,male,2,own,rich,little,2659.0,18,furniture/equipment,good
36.0,female,2,own,little,unknown,1028.0,18,car,good
39.0,male,1,own,little,little,3398.0,8,car,good
49.0,male,2,rent,unknown,unknown,5801.0,12,furniture/equipment,good
34.0,female,2,own,rich,unknown,1525.0,24,car,good
31.0,male,2,own,little,rich,4473.0,36,radio/TV,good
28.0,male,2,own,little,moderate,1068.0,6,radio/TV,good
64.5,male,3,free,little,little,6615.0,24,car,good
30.0,female,2,own,moderate,unknown,1864.0,18,education,bad
24.0,female,3,own,moderate,moderate,7408.0,42,car,bad
24.0,female,1,rent,moderate,unknown,7882.375,42,car,bad
23.0,male,2,rent,little,little,4110.0,24,furniture/equipment,bad
44.0,male,3,rent,little,little,3384.0,6,furniture/equipment,bad
23.0,female,1,own,little,moderate,2101.0,13,radio/TV,good
24.0,female,2,rent,unknown,little,1275.0,15,domestic appliances,bad
28.0,male,2,own,little,little,4169.0,24,furniture/equipment,good
31.0,male,1,own,little,moderate,1521.0,10,furniture/equipment,good
24.0,female,2,free,little,moderate,5743.0,24,education,good
26.0,female,1,rent,little,little,3599.0,21,furniture/equipment,good
25.0,male,2,rent,quite rich,moderate,3213.0,18,radio/TV,good
33.0,male,3,own,little,moderate,4439.0,18,business,good
37.0,male,1,own,little,rich,3949.0,10,car,good
43.0,female,1,own,little,unknown,1459.0,15,radio/TV,good
23.0,male,2,own,little,moderate,882.0,13,radio/TV,good
23.0,female,0,rent,quite rich,moderate,3758.0,24,radio/TV,good
34.0,male,1,own,moderate,unknown,1743.0,6,business,good
32.0,male,2,free,rich,moderate,1136.0,9,education,bad
23.0,female,2,rent,little,unknown,1236.0,9,domestic appliances,good
29.0,female,2,own,little,moderate,959.0,9,furniture/equipment,bad
38.0,male,3,own,unknown,unknown,3229.0,18,car,good
28.0,male,2,rent,little,little,6199.0,12,radio/TV,bad
46.0,male,2,free,quite rich,unknown,727.0,10,education,good
23.0,male,1,own,little,moderate,1246.0,24,car,bad
49.0,male,2,own,unknown,unknown,2331.0,12,radio/TV,good
26.0,male,3,own,little,unknown,4463.0,36,radio/TV,bad
28.0,male,2,own,little,unknown,776.0,12,radio/TV,good
23.0,female,2,rent,little,little,2406.0,30,furniture/equipment,bad
61.0,male,2,free,unknown,moderate,1239.0,18,education,good
37.0,male,3,own,unknown,rich,3399.0,12,radio/TV,good
36.0,female,2,own,little,rich,2247.0,12,car,good
21.0,male,2,rent,little,unknown,1766.0,6,furniture/equipment,good
25.0,male,0,own,little,little,2473.0,18,furniture/equipment,bad
36.0,male,2,own,little,unknown,1542.0,12,business,good
27.0,male,2,own,little,unknown,3850.0,18,car,good
22.0,female,2,rent,little,little,3650.0,18,furniture/equipment,good
42.0,male,2,own,little,little,3446.0,36,furniture/equipment,bad
40.0,female,2,rent,little,moderate,3001.0,18,furniture/equipment,good
36.0,male,2,own,unknown,unknown,3079.0,36,car,good
33.0,male,2,own,little,unknown,6070.0,18,radio/TV,good
23.0,female,2,rent,little,unknown,2146.0,10,furniture/equipment,good
63.0,male,3,free,unknown,unknown,7882.375,42,car,good
60.0,female,3,free,moderate,moderate,7882.375,42,vacation/others,bad
37.0,female,2,rent,little,little,7685.0,42,business,bad
34.0,male,2,own,little,unknown,2320.0,18,radio/TV,good
36.0,male,2,free,unknown,unknown,846.0,7,radio/TV,good
57.0,male,3,free,little,moderate,7882.375,36,car,bad
52.0,female,1,own,moderate,unknown,362.0,6,car,good
39.0,male,2,own,unknown,little,2212.0,20,furniture/equipment,good
38.0,female,3,free,little,moderate,7882.375,18,car,bad
25.0,female,2,rent,unknown,unknown,1283.0,22,car,good
26.0,male,2,own,little,rich,1330.0,12,car,good
26.0,male,1,own,moderate,unknown,4272.0,30,business,good
25.0,female,2,own,little,unknown,2238.0,18,radio/TV,good
21.0,female,2,rent,unknown,unknown,1126.0,18,radio/TV,good
40.0,male,3,own,little,moderate,7374.0,18,furniture/equipment,good
27.0,male,2,own,quite rich,moderate,2326.0,15,business,good
27.0,female,2,own,little,unknown,1449.0,9,business,good
30.0,male,3,own,little,unknown,1820.0,18,car,good
19.0,female,1,rent,rich,moderate,983.0,12,furniture/equipment,good
39.0,male,3,free,little,little,3249.0,36,car,good
31.0,female,2,own,little,little,1957.0,6,radio/TV,good
31.0,male,3,own,little,unknown,2406.0,9,furniture/equipment,good
32.0,male,2,rent,moderate,moderate,7882.375,39,education,good
55.0,female,3,free,little,little,2578.0,12,furniture/equipment,good
46.0,male,2,own,little,little,2348.0,36,furniture/equipment,good
46.0,male,2,rent,little,moderate,1223.0,12,car,bad
43.0,female,1,own,rich,unknown,1516.0,24,radio/TV,good
39.0,male,2,own,little,unknown,1473.0,18,radio/TV,good
28.0,male,2,own,unknown,moderate,1887.0,18,business,good
27.0,male,2,own,little,unknown,7882.375,24,business,bad
27.0,male,1,own,little,unknown,802.0,14,car,good
43.0,male,2,own,unknown,moderate,2899.0,18,car,good
22.0,male,2,own,little,moderate,2039.0,24,radio/TV,bad
43.0,male,2,own,unknown,unknown,2197.0,24,car,good
27.0,male,2,own,little,little,1053.0,15,radio/TV,good
26.0,male,3,own,quite rich,unknown,3235.0,24,radio/TV,good
28.0,male,2,own,quite rich,rich,939.0,12,car,bad
20.0,female,2,own,little,moderate,1967.0,24,radio/TV,good
35.0,male,3,own,little,unknown,7253.0,33,car,good
42.0,male,3,own,little,unknown,2292.0,12,business,bad
40.0,male,1,rent,quite rich,unknown,1597.0,10,car,good
35.0,female,2,own,unknown,little,1381.0,24,car,bad
35.0,male,2,own,little,unknown,5842.0,36,car,good
33.0,male,1,own,little,little,2579.0,12,car,bad
23.0,female,2,rent,unknown,little,7882.375,18,education,good
31.0,female,3,own,quite rich,unknown,2782.0,21,car,good
33.0,female,2,own,unknown,moderate,1042.0,18,car,bad
20.0,female,2,rent,rich,unknown,3186.0,15,car,good
30.0,male,2,own,unknown,moderate,2028.0,12,car,good
47.0,male,1,own,little,moderate,958.0,12,car,good
34.0,male,3,own,moderate,unknown,1591.0,21,furniture/equipment,good
25.0,female,2,own,unknown,moderate,2762.0,12,furniture/equipment,bad
21.0,male,2,rent,little,moderate,2779.0,18,car,good
29.0,male,2,own,little,unknown,2743.0,28,radio/TV,good
46.0,male,2,own,rich,unknown,1149.0,18,radio/TV,good
20.0,male,2,own,little,unknown,1313.0,9,furniture/equipment,good
55.0,female,0,free,little,little,1190.0,18,repairs,bad
64.5,male,1,own,little,unknown,3448.0,5,business,good
29.0,male,3,own,little,moderate,7882.375,24,vacation/others,bad
36.0,male,3,free,little,little,1872.0,6,furniture/equipment,good
33.0,male,2,own,little,unknown,2058.0,24,repairs,good
25.0,male,2,own,little,little,2136.0,9,furniture/equipment,good
25.0,male,2,own,unknown,moderate,1484.0,12,radio/TV,bad
23.0,male,1,rent,quite rich,unknown,660.0,6,repairs,good
37.0,female,2,own,rich,unknown,1287.0,24,car,good
64.5,male,0,own,little,little,3394.0,42,repairs,good
26.0,female,0,own,little,rich,609.0,12,business,bad
39.0,male,3,own,little,unknown,1884.0,12,car,good
30.0,female,2,own,little,little,1620.0,12,furniture/equipment,good
29.0,male,2,own,little,moderate,2629.0,20,vacation/others,good
41.0,male,1,own,little,unknown,719.0,12,education,bad
30.0,female,3,own,little,moderate,5096.0,42,furniture/equipment,bad
41.0,female,1,rent,unknown,unknown,1244.0,9,education,good
34.0,female,2,own,little,little,1842.0,36,car,bad
35.0,male,2,own,little,moderate,2576.0,7,radio/TV,good
55.0,female,3,own,unknown,rich,1424.0,12,furniture/equipment,good
61.0,male,2,own,rich,moderate,1512.0,15,repairs,bad
30.0,male,3,own,unknown,unknown,7882.375,36,car,good
29.0,female,2,own,little,unknown,518.0,6,radio/TV,good
34.0,male,2,own,little,unknown,2759.0,12,furniture/equipment,good
35.0,male,3,own,little,unknown,2670.0,24,car,good
31.0,male,2,own,little,little,4817.0,24,car,bad
29.0,female,3,own,little,unknown,2679.0,24,car,good
36.0,male,2,rent,little,little,3905.0,11,car,good
35.0,male,2,free,little,little,3386.0,12,car,bad
27.0,female,2,own,little,little,343.0,6,domestic appliances,good
32.0,male,2,own,little,unknown,4594.0,18,radio/TV,good
37.0,male,2,own,little,little,3620.0,36,furniture/equipment,good
36.0,male,2,own,little,little,1721.0,15,car,good
34.0,female,3,rent,little,moderate,3017.0,12,furniture/equipment,good
